,Method,Label,lib_arm,lib_msaenet,lib_CHAID,lib_party,lib_h2o,lib_class,lib_Rborist,lib_gam,lib_sparsediscrim,lib_logicFS,lib_rrlda,lib_penalizedLDA,lib_neuralnet,lib_spikeslab,lib_bartMachine,lib_rocc,lib_inTrees,lib_rotationForest,lib_binda,lib_kerndwd,lib_kernlab,lib_nodeHarvest,lib_leaps,lib_fastAdaboost,lib_rFerns,lib_kohonen,lib_LiblineaR,lib_deepboost,lib_ada,lib_C50,lib_monomvn,lib_plsRglm,lib_relaxo,lib_snn,lib_earth,lib_kknn,lib_HiDimDA,lib_klaR,lib_wsrf,lib_dplyr,lib_mxnet,lib_caTools,lib_fastICA,lib_robustDA,lib_RWeka,lib_Matrix,lib_glmnet,lib_ipred,lib_sda,lib_rpart,lib_bnclassify,lib_sdwd,lib_MASS,lib_deepnet,lib_qrnn,lib_frbs,lib_spls,lib_rqPen,lib_foba,lib_Cubist,lib_brnn,lib_rrcovHD,lib_xgboost,lib_elmNN,lib_e1071,lib_caret,lib_adabag,lib_quantregForest,lib_extraTrees,lib_pamr,lib_lars,lib_import,lib_stepPlr,lib_rpartScore,lib_keras,lib_mda,"lib_mxnet""",lib_nnls,lib_randomForest,lib_gbm,lib_supervisedPRIM,lib_proxy,lib_nnet,lib_obliqueRF,lib_protoclass,lib_rrcov,lib_vbmp,lib_HDclassif,lib_mboost,lib_mgcv,lib_partDSA,lib_pls,lib_adaptDA,lib_foreach,lib_gpls,lib_superpc,lib_KRLS,lib_LogicReg,lib_RSNNS,lib_evtree,lib_penalized,lib_bst,lib_plyr,lib_hda,lib_VGAM,lib_RRF,lib_monmlp,lib_naivebayes,lib_sparseLDA,lib_elasticnet,lib_ranger,lib_FCNN4R,lib_randomGLM,lib_ordinalNet,type_Regression,type_Classification,tag_,tag_Generalized Linear Model,tag_Categorical Predictors Only,tag_Linear Classifier,tag_Implicit Feature Selection,tag_Linear Classifier Models,tag_Bagging,tag_Logic Regression,tag_Model Tree,tag_Quantile Regression,tag_Linear Regression,tag_Kernel Method,tag_Prototype Models,tag_UL,tag_Ordinal Outcomes,tag_Partial Least Squares,tag_Radial Basis Function,tag_Robust Methods,tag_Feature Selection Wrapper,tag_Generalized Linear Models,tag_Ridge Regression,tag_Generalized Additive Model,tag_Accepts Case Weights,tag_Robust Model,tag_Support Vector Machines,tag_Discriminant Analysis Models,tag_Bayesian Model,tag_Neural Network,tag_Random Forest,tag_Cost Sensitive Learning,tag_Self-Organising Maps,tag_Gaussian Process,tag_Multivariate Adaptive Regression Splines,tag_Tree-Based Model,tag_Handle Missing Predictor Data,tag_Discriminant Analysis,tag_Logistic Regression,tag_Patient Rule Induction Method,tag_Binary Predictors Only,tag_Ensemble Model,tag_Regularization,tag_String Kernel,tag_Feature Extraction,tag_Mixture Model,tag_Rule-Based Model,tag_ROC Curves,tag_L2 Regularization,tag_Relevance Vector Machines,tag_Polynomial Model,tag_Two Class Only,tag_Oblique Tree,tag_Boosting,tag_L1 Regularization
0,AdaBag,Bagged AdaBoost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,
1,AdaBoost.M1,AdaBoost.M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,
2,adaboost,AdaBoost Classification Trees,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,
3,ada,Boosted Classification Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,
4,amdai,Adaptive Mixture Discriminant Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,
5,ANFIS,Adaptive-Network-Based Fuzzy Inference System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
6,avNNet,"Model Averaged Neural Network,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
7,awnb,Naive Bayes Classifier with Attribute Weighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,awtan, Tree Augmented Naive Bayes Classifier with Attribute Weightin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,bagEarthGCV,"Bagged MARS using gCV Pruning,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
